snapshot_day,threshold,weighted_f1,model,training_scenario
35,0.66,0.31657800455977303,Logistic Regression,oulad_source
60,0.31,0.3132123690263154,Logistic Regression,oulad_source
35,0.33,0.31318214032598496,Logistic Regression,oulad_source
60,0.51,0.31213872832369777,Logistic Regression,oulad_source
35,0.32,0.3104905764966485,Logistic Regression,oulad_source
75,0.37,0.3099330559073681,Logistic Regression,oulad_source
60,0.52,0.30763582966225994,Logistic Regression,oulad_source
75,0.38,0.30748840291584223,Logistic Regression,oulad_source
75,0.36,0.30717891674510595,Logistic Regression,oulad_source
35,0.31,0.3066856522918102,Logistic Regression,oulad_source
35,0.67,0.3065315315315385,Logistic Regression,oulad_source
60,0.3,0.3057287320210034,Logistic Regression,oulad_source
35,0.3,0.3053764870073504,Logistic Regression,oulad_source
75,0.33,0.30484988452656486,Logistic Regression,oulad_source
75,0.39,0.3047257468278583,Logistic Regression,oulad_source
60,0.53,0.3041204235234075,Logistic Regression,oulad_source
75,0.34,0.3038321167883267,Logistic Regression,oulad_source
60,0.29,0.301783523638759,Logistic Regression,oulad_source
75,0.4,0.30149597238205134,Logistic Regression,oulad_source
0,0.73,0.3009145748200068,Logistic Regression,oulad_source
35,0.29,0.30072688158020733,Logistic Regression,oulad_source
75,0.35,0.3006546512567737,Logistic Regression,oulad_source
60,0.54,0.30050304474450557,Logistic Regression,oulad_source
60,0.28,0.30044863370643315,Logistic Regression,oulad_source
75,0.41,0.29869266563261926,Logistic Regression,oulad_source
35,0.28,0.29845085813457484,Logistic Regression,oulad_source
35,0.27,0.296197634224436,Logistic Regression,oulad_source
60,0.55,0.2960924600990642,Logistic Regression,oulad_source
35,0.68,0.29575814389501465,Logistic Regression,oulad_source
60,0.56,0.29566963005448843,Logistic Regression,oulad_source
75,0.32,0.2956211882409435,Logistic Regression,oulad_source
35,0.26,0.2943139640060858,Logistic Regression,oulad_source
60,0.27,0.2941662678905407,Logistic Regression,oulad_source
75,0.31,0.2941367022999741,Logistic Regression,oulad_source
35,0.25,0.2925446703634966,Logistic Regression,oulad_source
75,0.3,0.2918380062305363,Logistic Regression,oulad_source
75,0.28,0.29096045197740833,Logistic Regression,oulad_source
35,0.24,0.290781440781413,Logistic Regression,oulad_source
75,0.42,0.2892436778930214,Logistic Regression,oulad_source
35,0.23,0.2887096286896607,Logistic Regression,oulad_source
0,0.74,0.2885099706865974,Logistic Regression,oulad_source
75,0.29,0.28834790829591794,Logistic Regression,oulad_source
75,0.27,0.28829218218164876,Logistic Regression,oulad_source
75,0.44,0.28824662813102236,Logistic Regression,oulad_source
60,0.57,0.2875758921960618,Logistic Regression,oulad_source
75,0.26,0.2871088732466807,Logistic Regression,oulad_source
35,0.22,0.28639803763196836,Logistic Regression,oulad_source
75,0.43,0.28617244356728905,Logistic Regression,oulad_source
35,0.21,0.28585849588786133,Logistic Regression,oulad_source
60,0.26,0.285774128686321,Logistic Regression,oulad_source
35,0.2,0.2839455220800381,Logistic Regression,oulad_source
35,0.69,0.2835239717692928,Logistic Regression,oulad_source
35,0.19,0.28312244957869387,Logistic Regression,oulad_source
75,0.25,0.28271429272362236,Logistic Regression,oulad_source
35,0.18,0.28225239990631723,Logistic Regression,oulad_source
60,0.25,0.28191917565608826,Logistic Regression,oulad_source
35,0.17,0.2813138089959467,Logistic Regression,oulad_source
35,0.16,0.2810489856506401,Logistic Regression,oulad_source
75,0.24,0.28082480011222455,Logistic Regression,oulad_source
35,0.15,0.2806079451337956,Logistic Regression,oulad_source
35,0.14,0.2805101240449421,Logistic Regression,oulad_source
35,0.12,0.2801926759909187,Logistic Regression,oulad_source
35,0.13,0.2801926759909187,Logistic Regression,oulad_source
35,0.05,0.28014390158985264,Logistic Regression,oulad_source
35,0.06,0.28014390158985264,Logistic Regression,oulad_source
35,0.07,0.28014390158985264,Logistic Regression,oulad_source
35,0.08,0.28014390158985264,Logistic Regression,oulad_source
35,0.09,0.28014390158985264,Logistic Regression,oulad_source
35,0.1,0.28014390158985264,Logistic Regression,oulad_source
35,0.11,0.28014390158985264,Logistic Regression,oulad_source
